,SHIP,FLAG,SUNK DATE,VESSEL TYPE,ZONA1,ZONA2,ZONA3,ZONA4,COORDINATES,NOTES,IMAGE
33,Kad'yak,,2 April 1860,,the United States,Alaska,,, 27.58625; -82.761389,A merchant ship that struck a rock off Spruce Island. The wreck was rediscovered in 2003.,//upload.wikimedia.org/wikipedia/commons/thumb/8/88/SanTelmoAlejoBerlingueromuseonavalmadrid_%28cropped%29.jpg/300px-SanTelmoAlejoBerlingueromuseonavalmadrid_%28cropped%29.jpg
34,Karluk,,1830,,the United States,Alaska,,,,Russian maritime fur trade vessel Karluk wrecked at Kodiak Island.,
35,Mariposa,,18 November 1917,,the United States,Alaska,,,,"Hit a reef on Strait Island, near Pt. Baker, while carrying 269 passengers and a full cargo of copper ore and canned salmon. The vessel had previously picked up the crew from the wrecked Al-Ki and the pirates from the wrecked Manhattan. All passengers and crew were rescued before vessel sank by the Curaçao, Ravalli, and Jefferson. She went down with 25,000 cases of salmon and 1,200 tons of copper ore. The reef is now called Mariposa Reef.",
36,Mount McKinley,,1942,,the United States,Alaska,,,52.82083333333334; -97.64083333333333,"A passenger steamer, beached near Scotch Cap, Aleutian Islands.",//upload.wikimedia.org/wikipedia/commons/thumb/3/36/River_steamship_Princess.png/300px-River_steamship_Princess.png
37,Nenohi,,5 July 1942,,the United States,Alaska,,, 52.250; 173.850﻿ ,A Hatsuharu-class destroyer that was torpedoed by USS Triton off Agattu Island.,
38,Neva,,9 January 1813,,the United States,Alaska,,, 44.69; -66.82,"Russian-American Company (RAC) ship Neva wrecked on a reef at Kruzof Island, killing 53 people, including Terentii Stepanovich Bornovolokov, who was to replace Alexander Baranov as Governor of the RAC. Total loss from the wreck over 250,000 rubles. Second gravest marine catastrophe in the history of Russian America, after the loss of Feniks in 1799.",
39,Nikolai I,,1861,,the United States,Alaska,,, 54.906; -1.381,Russian-American Company steamship wrecked near Admiralty Island.,//upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Bradenton_Beach_FL_Regina_site02.jpg/250px-Bradenton_Beach_FL_Regina_site02.jpg
40,Nissan Maru,,19 June 1942,,the United States,Alaska,,,,Japanese armed freighter sunk by U.S. bombers in Kiska Harbor.,
41,FV Northern Belle,,20 April 2010,,the United States,Alaska,,,33.53138888888889; -117.76916666666666,A fishing vessel that sank in the Gulf of Alaska.,//upload.wikimedia.org/wikipedia/commons/thumb/6/63/MS_Riverdance.jpg/300px-MS_Riverdance.jpg
42,Oboro,,17 October 1942,,the United States,Alaska,,,27.192222222222224; -80.24305555555556,A Fubuki-class destroyer that was sunk by US aircraft northeast of Kiska.,//upload.wikimedia.org/wikipedia/commons/thumb/a/a6/USS_Rankin_%28AKA-103%29_underway_at_sea%2C_circa_in_the_1960s.jpg/300px-USS_Rankin_%28AKA-103%29_underway_at_sea%2C_circa_in_the_1960s.jpg
43,Olga,,1909,,the United States,Alaska,,,,"A whaling schooner wrecked near Nome, Alaska.",
44,Olympia,,10 December 1910,,the United States,Alaska,,,,Ran aground on Bligh Reef and sank without loss of life.,
45,Patterson,,1938,,the United States,Alaska,,,,"A steam freighter, wrecked and aground at Cape Fairweather.",
46,Sv. Petr,,1750,,the United States,Alaska,,,,Russian maritime fur trade shitik Sv. Petr wrecked on Attu Island. One person died.,
47,Politkofsky,,1915,,the United States,Alaska,,,,"A sidewheel steamer built by the Russian-American Company, completed 4,000 miles (6,400 km) before being abandoned in St. Michael near the entrance of the Yukon River.",
48,SS Portland,,12 November 1910,,the United States,Alaska,,,8.75; 171.06666666666666,A steam ship which struck the rocks off Cordova.,//upload.wikimedia.org/wikipedia/commons/thumb/4/4d/SS_Potrero_Del_Llano_burns_after_being_torpedoed.jpg/300px-SS_Potrero_Del_Llano_burns_after_being_torpedoed.jpg
49,SS Princess Kathleen,,7 September 1952,,the United States,Alaska,,, 58.234; -134.465﻿ ,"A passenger steamer, sunk near Point Lena.  When she went aground at Point Lena rock, the vessel was a mile and a half off course. She was the flagship of the Canadian Pacific Lines.",
50,SS Princess Sophia,,25 October 1918,,the United States,Alaska,,, 58.6022; -135.0236﻿ ,"A passenger liner sunk off Vanderbilt Reef near Juneau, with 343 lives lost.",
51,MS Prinsendam,,4 October 1980,,the United States,Alaska,,, 55.883; -136.450﻿ ,A cruise ship that caught fire and sank off Baranof Island.,
52,USS Rescuer,,31 December 1942,,the United States,Alaska,,,42.64952777777778; -70.59319444444444,A Rescuer-class rescue and salvage ship that was wrecked in the Aleutian Islands.,
53,USS S-27,,19 June 1942,,the United States,Alaska,,,,An S-class submarine that ran aground off Amchitka.,
54,MV Selendang Ayu,,8 December 2004,,the United States,Alaska,,,,"A cargo ship that ran aground off the coast of Unalaska Island, causing an oil spill.",
55,Sinsyo Maru,,20 July 1784,,the United States,Alaska,,,,"Japanese junk Sinsyo Maru wrecked on Amchitka Island. Junk was sailing for Edo but damaged in a storm and drifted for over seven months before wrecking on Amchitka Island. With Aleuts and Russian promyshlenniki from another wrecked vessel, the group remained on the island for three years, building a new vessel from the wrecked ships. In September 1787 the survivors sailed to Petropavlovsk.",
56,Torrent,,15 July 1868,,the United States,Alaska,,,,A wooden bark ship that foundered in a storm and went ashore in Cook Inlet.,//upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Sapona_Panoramic.jpg/300px-Sapona_Panoramic.jpg
57,Tri Ierarkha,,1796,,the United States,Alaska,,,,Russian maritime fur trade galiot Tri Ierarkha wrecked in Cook Inlet.,
58,Tri Svyatitelya,,1790,,the United States,Alaska,,,,"Russian maritime fur trade galiot Tri Svyatitelya, owned by Shelikhov-Golikov Company, sailed from Okhotsk for Kodiak Island with passenger Alexander Baranov, future governor of the Russian-American Company. Wrecked on Unalaska Island. With help from Aleuts Baranov and crew survived the winter then continued to Kodiak on native boats.",
59,Sv. Troitsa,,1764,,the United States,Alaska,,,,Russian maritime fur trade vessel Sv. Troitsa wrecked on Umnak Island.,//upload.wikimedia.org/wikipedia/commons/thumb/0/04/RMS_Rhone_2003_12.jpg/300px-RMS_Rhone_2003_12.jpg
60,Unknown Japanese vessel,,1861,,the United States,Alaska,,,,"Japanese vessel of unknown name wrecked at Attu Island. Of the 12 crewmen, 9 died.",
61,Wakamiya-maru,,1794,,the United States,Alaska,,,,"Japanese vessel wrecked at Biorka Island near Sitka. Had sailed from Sendai, Japan, making for Edo. Damaged in a storm and drifted to Biorka Island. Fifteen survivors were brought by Russians to Unalaska then Okhotsk.",
62,USS Wasmuth,,29 December 1942,,the United States,Alaska,,, 52.2; -174.2,A Clemson-class destroyer sunk by her own depth charges in the Aleutian Islands.,//upload.wikimedia.org/wikipedia/commons/thumb/b/ba/USS_Wasmuth_%28DD-338%29.jpg/300px-USS_Wasmuth_%28DD-338%29.jpg
63,Charles H. Spencer,,1921,,the United States,Arizona,,,36.8675; -111.59527777777777,A steamboat that sank in a flood near Lee's Ferry.,//upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Vizcaya_far106.jpg/300px-Vizcaya_far106.jpg
64,SS Homer,,26 April 1864,,the United States,Arkansas,,,,A paddle steamer that was captured by the Union Army and scuttled at Camden.,
65,USS Linden,,22 February 1864,,the United States,Arkansas,,,,A steamer sunk after striking a snag on the Arkansas River.,
66,USS Queen City,,24 June 1864,,the United States,Arkansas,,, 34.6934; -91.3173﻿ ,A steamer blown up by Confederates after capture on the White River.,//upload.wikimedia.org/wikipedia/en/4/4f/USS_Queen_City.jpg
67,USS Chewink,,31 July 1947,,the United States,Connecticut,,, 56.06; -6.21,Sunk off New London in 1947.,//upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Naval_Ensign_of_the_United_Kingdom.svg/56px-Naval_Ensign_of_the_United_Kingdom.svg.png
68,Elmer S. Dailey,,1974,,the United States,Connecticut,,, 41.17367; -73.18567﻿ ,A wooden barge that sank in Bridgeport Harbor.,
69,USS G-2,,30 July 1919,,the United States,Connecticut,,, 47.7; -87.5﻿ ,"G-class submarine, sank at mooring near Niantic Bay.",//upload.wikimedia.org/wikipedia/commons/thumb/3/3a/SS_Andrea_Doria.jpg/300px-SS_Andrea_Doria.jpg
70,USS Guardfish,,10 October 1961,,the United States,Connecticut,,,,Sunk as target off New London.,
71,USS Mary Alice,,5 October 1918,,the United States,Connecticut,,,,A patrol vessel that was accidentally rammed by USS O-13 off Penfield Reef Light.,
72,Priscilla Dailey,,1974,,the United States,Connecticut,,, 41.17367; -73.18567﻿ ,A wooden barge that sank in Bridgeport Harbor.,//upload.wikimedia.org/wikipedia/commons/thumb/6/6c/BridgeportBarges.jpg/300px-BridgeportBarges.jpg
73,USS Cherokee,,26 February 1918,,the United States,Delaware,,, 38.84; -74.8﻿ ,A tugboat that foundered in a gale off Fenwick Island.,
74,USS Gallup,,21 February 1918,,the United States,Delaware,,,,A minesweeper that ran aground at Cape Henlopen.,
75,Ice Boat No. 3,,5 February 1905,,the United States,Delaware,,,,"She was between the two breakwaters when No. 3's paddlewheels became jammed by ice, and, unable to manoeuvre, the vessel was dragged by the ice floes over a recently sunken barge, the Santiago, one of whose broken masts pierced the ice boat's hull below the waterline. Within minutes, water had extinguished No. 3's furnaces and the order was given to abandon ship. Unable to launch a lifeboat because of the surrounding ice, the crew were forced to leap for safety onto the ice floes, the ice boat sinking shortly thereafter, at about 6 am.",
76,USNS Mission San Francisco,,7 March 1957,,the United States,Delaware,,,,"A fleet oil tanker, collided with the Liberian freighter Elna II while passing New Castle, caught fire and exploded.",
77,Monroe,,30 January 1914,,the United States,Delaware,,,0.0; -25.0,The ocean liner collided with SS Nantucket in the Atlantic Ocean 50 nautical miles (93 km) off the Delaware Capes and sank with the loss of 41 of the 140 people on board. Survivors were rescued by Nantucket.,//upload.wikimedia.org/wikipedia/commons/thumb/8/8d/SS_Monroe_1903.png/300px-SS_Monroe_1903.png
78,CSS Chattahoochee,,17 April 1865,,the United States,Georgia,,, 37.815614; -122.529578,"A Confederate gunboat that had sunk on the Appalachicola River in Florida when its boiler had exploded, then been raised and returned to Columbus for repairs. She was scuttled in the Chattahoochee River to prevent her capture by Union troops.",//upload.wikimedia.org/wikipedia/commons/thumb/b/be/Flag_of_the_United_States_%281822-1836%29.svg/54px-Flag_of_the_United_States_%281822-1836%29.svg.png
79,Carrier Dove,,3 March 1876,,the United States,Georgia,,,18.43; -68.97,A medium clipper that ran aground near Tybee Island.,//upload.wikimedia.org/wikipedia/commons/thumb/a/a3/SS_Montebello_4.jpg/300px-SS_Montebello_4.jpg
80,CSS Georgia,,21 December 1864,,the United States,Georgia,,, 32.08472; -81.03583﻿ ,A Civil War ironclad floating battery scuttled off Savannah.,//upload.wikimedia.org/wikipedia/en/thumb/c/cd/Bianca_c_ship.jpg/300px-Bianca_c_ship.jpg
81,CSS Muscogee,,April 1865,,the United States,Georgia,,,,A Confederate ironclad ram that was burned and scuttled in the Chattahoochee River near Columbus.,
82,Rattlesnake,,28 February 1863,,the United States,Georgia,,,,A Confederate privateer sunk by USS Montauk in Ogeechee River.,
83,USS Noble,,1862,,the United States,Georgia,,,18.533333333333335; -72.33333333333333,A barque that was scuttled as a blockship near Savannah.,//upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Mary_Celeste_as_Amazon_in_1861_%28cropped%29.jpg/300px-Mary_Celeste_as_Amazon_in_1861_%28cropped%29.jpg
84,USS Phoenix,,5 December 1861,,the United States,Georgia,,,,A whaler that was scuttled as a breakwater off Tybee Island.,//upload.wikimedia.org/wikipedia/commons/thumb/b/bc/USS_Thompson_%28DD-305%29_underway%2C_during_the_1920s_%28NH_71032%29.jpg/300px-USS_Thompson_%28DD-305%29_underway%2C_during_the_1920s_%28NH_71032%29.jpg
85,USS South America,,8 December 1861,,the United States,Georgia,,,,A whaler that was beached at Tybee Island.,
86,SS Republic,,25 October 1865,,the United States,Georgia,,,50.66277777777778; -1.5894444444444447,Sank in a hurricane about 100 miles (160 km) southeast of Savannah.,//upload.wikimedia.org/wikipedia/commons/thumb/7/71/Flag_of_French-Navy-Revolution.svg/42px-Flag_of_French-Navy-Revolution.svg.png
87,USS Water Witch,,19 December 1864,,the United States,Georgia,,,,A sidewheel gunboat burned to avoid capture at White Bluff.,
88,MV Golden Ray,,18 September 2019,,the United States,Georgia,,,-41.3; 174.78333333333333,A car carrier that capsized in St. Simons Sound. Awaiting scrapping operations as of October 2020.,//upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Car_carrier_GOLDEN_RAY_en_quai.jpg/300px-Car_carrier_GOLDEN_RAY_en_quai.jpg
89,Aratama Maru,,1944,,the United States,Guam,,,,A Japanese Navy transport sunk in Talofofo Bay.,
90,SMS Cormoran,,7 April 1917,,the United States,Guam,,,12.866666666666667; -61.18333333333333,A German steamer scuttled in Apra Harbor to avoid capture at the start of American involvement in World War I.,//upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Carte_postale_du_paquebot_Antilles.jpg/300px-Carte_postale_du_paquebot_Antilles.jpg
91,Kitsugawa Maru,,,,the United States,Guam,,,,A Japanese merchant freighter sunk by torpedo in Apra Harbor.,//upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Civil_Ensign_of_the_United_Kingdom.svg/23px-Civil_Ensign_of_the_United_Kingdom.svg.png
92,Tokai Maru,,1943,,the United States,Guam,,,13.453333333333333; 144.6534888888889,A Japanese Navy armed transport sunk in Apra Harbor.,//upload.wikimedia.org/wikipedia/commons/thumb/9/93/Looking_into_the_Tokai_Maru.jpg/250px-Looking_into_the_Tokai_Maru.jpg
93,USS Arizona,,7 December 1941,,the United States,Hawaii,,, 21.364775; -157.950112﻿ ,A battleship lost in the Japanese bombing of Pearl Harbor.,//upload.wikimedia.org/wikipedia/commons/thumb/0/06/HMS_Whirlwind_%28D30%29.jpg/300px-HMS_Whirlwind_%28D30%29.jpg
94,USS Barbero,,7 October 1964,,the United States,Hawaii,,,,A Balao-class submarine sunk as a target off Pearl Harbor.,
95,Bering,,January 1815,,the United States,Hawaii,,,45.72222222222222; 142.02666666666667,"Russian-American Company ship Bering (also spelled Behring; formerly Atahualpa) wrecked at Waimea Bay, Oahu.",//upload.wikimedia.org/wikipedia/commons/thumb/7/78/USS_Wahoo_%28SS-238%29_off_the_Mare_Island_Naval_Shipyard%2C_California_%28USA%29%2C_on_14_July_1943_%2819-N-48937%29.jpg/300px-USS_Wahoo_%28SS-238%29_off_the_Mare_Island_Naval_Shipyard%2C_California_%28USA%29%2C_on_14_July_1943_%2819-N-48937%29.jpg
96,USS Carbonero,,27 April 1975,,the United States,Hawaii,,,,A Balao-class submarine sunk as a target.,//upload.wikimedia.org/wikipedia/commons/thumb/7/70/DDG_%E2%80%9EHansa%E2%80%9C_house_flag.svg/20px-DDG_%E2%80%9EHansa%E2%80%9C_house_flag.svg.png
97,Carrier Dove,,21 November 1921,,the United States,Hawaii,,,,A schooner that struck a reef off Molokai.,
98,Carthaginian II,,December 2005,,the United States,Hawaii,,, 20.862722; -156.675194﻿ ,A sailing boat that was sunk as an artificial reef.,
99,Cleopatra's Barge,,6 April 1824,,the United States,Hawaii,,,,The royal yacht of King Kamehameha II that ran aground in Hanalei Bay.,//upload.wikimedia.org/wikipedia/commons/thumb/e/e5/USS_Wilkes-Barre_%28CL-103%29_at_anchor%2C_circa_31_January_1946_%28NH_98601%29.jpg/300px-USS_Wilkes-Barre_%28CL-103%29_at_anchor%2C_circa_31_January_1946_%28NH_98601%29.jpg
100,USS Darter,,7 January 1992,,the United States,Hawaii,,,30.393333333333334; -86.47527777777778,"A submarine that was disabled in a collision with Kansas Getty, and sunk as a target off Pearl Harbor.",//upload.wikimedia.org/wikipedia/commons/thumb/d/d0/USS_Ozark_%28LSV-2%29_on_16_September_1944.jpg/300px-USS_Ozark_%28LSV-2%29_on_16_September_1944.jpg
101,Ehime Maru (えひめ丸),,9 February 2001,,the United States,Hawaii,,,,"A Japanese fishery high school training ship sank about 9 nautical miles (17 km) off the south coast of Oahu, after a collision with United States Navy submarine USS Greeneville. Nine of its crewmembers were killed, including four high school students.",//upload.wikimedia.org/wikipedia/commons/thumb/7/74/Yugiri_II.jpg/300px-Yugiri_II.jpg
102,I-18tou,,,,the United States,Hawaii,,,,A Japanese midget submarine depth-charged at Pearl Harbor.,//upload.wikimedia.org/wikipedia/commons/thumb/7/7d/NH_66721_Honda_Point.gif/250px-NH_66721_Honda_Point.gif
103,I-401,,31 May 1946,,the United States,Hawaii,,,,An I-400-class submarine that was sunk as a target off Kalaeloa.,//upload.wikimedia.org/wikipedia/commons/thumb/f/f7/SS_Palo_Alto.jpg/300px-SS_Palo_Alto.jpg
104,Kad’yak,,1816,,the United States,Hawaii,,,,"Russian-American Company ship Kad’yak (also spelled Kad’iak and Kodiak; formerly Myrtle), wrecked at Honolulu Harbor, Oahu.",//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/54px-Flag_of_the_United_States.svg.png
105,USS LST-480,,21 May 1944,,the United States,Hawaii,,,,A tank landing ship sunk following the West Loch Disaster in Pearl Harbor.,//upload.wikimedia.org/wikipedia/commons/thumb/e/e1/James_jouett_trenton_1886.jpg/300px-James_jouett_trenton_1886.jpg
106,USNS Mission San Miguel,,8 October 1957,,the United States,Hawaii,,,27.7625; -82.54583333333333,A fleet oiler run aground on Maro Reef.,//upload.wikimedia.org/wikipedia/commons/thumb/0/0b/USCGC_Blackthorn_%28WLB-391%29_underway_in_1972.jpg/300px-USCGC_Blackthorn_%28WLB-391%29_underway_in_1972.jpg
107,USS S-28,,4 July 1944,,the United States,Hawaii,,,19.190277777777776; -96.15333333333334,An S-class submarine that sunk off Oahu.,//upload.wikimedia.org/wikipedia/commons/thumb/1/1f/USS_Somers_%281842%29.jpg/300px-USS_Somers_%281842%29.jpg
108,USS Saginaw,,29 October 1870,,the United States,Hawaii,,,,A sloop-of-war that ran aground off Kure Atoll.,//upload.wikimedia.org/wikipedia/commons/thumb/c/c7/HMS_Investigator_stuck_in_ice_%28cropped%29.jpg/300px-HMS_Investigator_stuck_in_ice_%28cropped%29.jpg
109,USS Stickleback,,29 May 1958,,the United States,Hawaii,,,,A Balao-class submarine sunk in a collision with USS Silverstein.,
110,USS Tinosa,,November 1960,,the United States,Hawaii,,,,A Gato-class submarine that was scuttled after being used as an anti-submarine warfare target.,//upload.wikimedia.org/wikipedia/commons/thumb/9/98/Sub_Marine_Explorer_Wreck.jpg/300px-Sub_Marine_Explorer_Wreck.jpg
111,USS Utah,,7 December 1941,,the United States,Hawaii,,,-23.92666666666667; -130.73722222222221,A former battleship converted to a training and target ship lost in the Japanese bombing of Pearl Harbor.,//upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Flag_of_Canada_%281868%E2%80%931921%29.svg/23px-Flag_of_Canada_%281868%E2%80%931921%29.svg.png
112,YO-257,,1989,,the United States,Hawaii,,,,Sunk by Atlantis Submarines Hawaii as an artificial reef.,//upload.wikimedia.org/wikipedia/commons/thumb/3/37/Lady_of_St_Kilda_sketch_by_Jno._R._Browning.jpg/300px-Lady_of_St_Kilda_sketch_by_Jno._R._Browning.jpg
113,San Pedro,,1996,,the United States,Hawaii,,,,Sunk by Atlantis Submarines Hawaii as an artificial reef.,
114,Lucy Walker,,23 October 1844,,the United States,Indiana,,, 51.3850; 1.3838,Sank in the Ohio River near New Albany.,//upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Naval_Ensign_of_the_United_Kingdom.svg/56px-Naval_Ensign_of_the_United_Kingdom.svg.png
115,Arabia,,5 September 1856,,the United States,Kansas,,, 39.1736028; -94.6702472﻿ ,A steamboat that sank in the Missouri River. The wreck now lies under a field in Kansas City.,
116,USS Fixity,,,,the United States,Kentucky,,, 38.6452; -83.7391﻿ ,An Admirable-class minesweeper that sank in Ohio River at Maysville.,//upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Uss-fixity-_am-235.jpg/300px-Uss-fixity-_am-235.jpg
117,CSS Ram Arkansas,,5 August 1862,,the United States,Louisiana,,, 30.48722; -91.20139﻿ ,"A Confederate ironclad ram that was destroyed by her crew on 5 August 1862, near Baton Rouge, Louisiana.",
118,USS Carolina,,27 December 1814,,the United States,Louisiana,,,,A schooner sunk by British forces near New Orleans.,
119,El Cazador,,1784,,the United States,Louisiana,,,29.28638888888889; -81.075,"A Spanish brig carrying silver currency, sank 50 miles (80 km) south of New Orleans, discovered by a fishing trawler in 1993.",//upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Yura.jpg/300px-Yura.jpg
120,USS Covington,,5 May 1864,,the United States,Louisiana,,,,A gunboat that was scuttled to prevent capture off Alexandria.,
121,Kentucky,,June 1865,,the United States,Louisiana,,,,"A riverboat that ran aground near Shreveport on the Red River while carrying a large number of Confederate soldiers.  Not believed to be in danger, the ship was not evacuated.  The ship sank at night taking approx. 200 lives.   The wreck was rediscovered in 1994.",
122,El Nuevo Constante,,September 1766,,the United States,Louisiana,,, 29.580617; -92.654983﻿ ,A merchant ship that ran aground after taking damage during a hurricane. The wreck was rediscovered in 1979.,
123,CSS Governor Moore,,24 April 1862,,the United States,Louisiana,,,,A gunboat that took heavy damage in the Battle of Forts Jackson and St. Philip and was scuttled to prevent capture.,
124,USS Lancaster,,25 March 1863,,the United States,Louisiana,,,10.383333333333333; 107.11666666666666,A steamboat that was sunk by Confederate forces off Port Hudson.,
125,CSS Louisiana,,28 April 1862,,the United States,Louisiana,,, 29.36333; -89.46139﻿ ,"An ironclad that burned, exploded, and sunk near Fort St. Philip on the Mississippi River.",
126,CSS Manassas,,24 April 1862,,the United States,Louisiana,,,,An ironclad warship that was run aground by USS Mississippi in the Battle of Forts Jackson and St. Philip.,
127,CSS McRae,,28 April 1862,,the United States,Louisiana,,,,"A gunboat that took heavy damage in a battle with USS Iroquois, and was scuttled off Algiers.",
128,MTC-602,,9 September 1965,,the United States,Louisiana,,,,A barge that sank in the Mississippi River during Hurricane Betsy.  The barge was raised on 12 November 1965.,
129,SS New York,,7 September 1846,,the United States,Louisiana,,,,"Sunk in a hurricane off the coast while carrying $40,000 in gold and silver. 17 people out of 53 passengers/crew perished.",
130,SS Robert E. Lee,,30 July 1942,,the United States,Louisiana,,,,A passenger freighter torpedoed by U-166.,//upload.wikimedia.org/wikipedia/commons/thumb/c/c9/War_Ensign_of_Germany_%281903%E2%80%931919%29.svg/47px-War_Ensign_of_Germany_%281903%E2%80%931919%29.svg.png
131,SS Joe Webre,,2 October 1893,,the United States,Louisiana,,,,A steamship lost in the 1893 Cheniere Caminada hurricane.,
132,USS Signal,,19 April 1864,,the United States,Louisiana,,,,A gunboat that was scuttled to prevent capture off Alexandria.,//upload.wikimedia.org/wikipedia/commons/thumb/4/4c/HMS_Wessex_at_sea_%2815783882461%29.jpg/300px-HMS_Wessex_at_sea_%2815783882461%29.jpg
133,U-166,,30 July 1942,,the United States,Louisiana,,, 28.617; -90.750﻿ ,A German U-boat sunk by a depth charge from a US Navy patrol boat.,
134,USS Varuna,,24 April 1862,,the United States,Louisiana,,,,A steamship that sank in the Battle of Forts Jackson and St. Philip.,
135,USCGC White Alder,,7 December 1968,,the United States,Louisiana,,,30.16861111111111; -91.14666666666668,A coastal buoy tender sunk in the Mississippi River near White Castle following a collision.,//upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Chihyuan1.JPG/300px-Chihyuan1.JPG
136,Alice E. Clark,,1 July 1909,,the United States,Maine,,,,"A 4-masted schooner, struck Islesboro Ledge (off Islesboro, Penobscot Bay) in fog.",
137,Amaretto,,1 July 1985,,the United States,Maine,,,,"A fishing vessel, sunk by pirates two miles off the coast of Owls Head.",
138,Annie C. Maguire,,24 December 1886,,the United States,Maine,,, 43.62283; -70.20799﻿ ,A barque that ran aground at Portland Head Light.,//upload.wikimedia.org/wikipedia/en/thumb/8/8c/SS_Flynderborg-en.jpg/300px-SS_Flynderborg-en.jpg
139,USS Eagle Boat 56,,23 April 1945,,the United States,Maine,,, 43.5577; -70.1621﻿ ,An Eagle-class patrol boat that was sunk by U-853 off Cape Elizabeth.,
140,SS Georgia,,January 1875,,the United States,Maine,,,,A Canadian screw steamer - formerly of the Confederate States Navy.,
141,Nottingham,,11 December 1710,,the United States,Maine,,,,A British galley which struck rocks and sank near Boon Island.,//upload.wikimedia.org/wikipedia/commons/thumb/6/69/Stornoway_%28ship%2C_1850%29-The_clipper_ship_era_1843-1869_%281910%29_page_198_%2814595826480%29.jpg/300px-Stornoway_%28ship%2C_1850%29-The_clipper_ship_era_1843-1869_%281910%29_page_198_%2814595826480%29.jpg
142,Mary Barrett,,,,the United States,Maine,,, 43.844612; -69.732199﻿ ,A 241-foot five masted schooner built in Bath in 1901. It was intentionally sunk in Robinhood Cove in Georgetown. Known locally as Mary Barrett's Bones.,
143,USS S-21,,23 March 1945,,the United States,Maine,,,,An S-class submarine that was sunk as a target.,
144,USS PE-56,,23 April 1945,,the United States,Maine,,,43.56361111111111; -70.2,World War I and World War II-era patrol boat torpedoed and sunk by German submarine U-583 off the coast of Cape Elizabeth.,//upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Eagle_boat.jpg/300px-Eagle_boat.jpg
145,USS Blenny,,7 June 1989,,the United States,Maryland,,,,"A Balao-class submarine that was scuttled as an artificial reef off Ocean City, Maryland.",
146,"USS Cherokee, (a.k.a. ""The Gunboat"")",,26 February 1918,,the United States,Maryland,,, 38.84; -74.8﻿ ,"Built in New Jersey in 1891, and initially named the Edgar F. Luckenbach. The Cherokee spent a year in the service of the U.S. Navy. In February 1918, she foundered off Fenwick Island lightship during a gale while en route to Washington, D.C.",
147,Governor R. M. McLane,,,,the United States,Maryland,,, 39.274528; -76.600057﻿ ,"Maryland state steamer, 1884–1945, serving in State Oyster Police Force during Oyster Wars and as State Fishery Force ""flagship"" and briefly commissioned in U.S. Navy during WW I then the state until 1945 that sunk in Baltimore harbor.",
148,The Mallows Bay wrecks,,,,the United States,Maryland,,,,Includes as many as 152 World War I-era merchant ships abandoned after the salvage company went bankrupt.,
149,U-1105,,19 September 1949,,the United States,Maryland,,, 38.13611; -76.55278﻿ ,A Type VII-C/41 U-boat that was wrecked off Piney Point.,//upload.wikimedia.org/wikipedia/commons/thumb/4/49/U-995_Marineehrenmal_Laboe.jpg/300px-U-995_Marineehrenmal_Laboe.jpg
150,SS Alpena,,15 October 1880,,the United States,Michigan,,,,"A sidewheel steamer built by Thomas Arnold of Gallagher & Company at Marine City, Michigan in 1866. She was operated by the Goodrich Line after being purchased from Gardner, Ward & Gallagher in April 1868. The Alpena sank in Lake Michigan in the ""Big Blow"" storm on October 15, 1880, with the loss of all 80 on board",//upload.wikimedia.org/wikipedia/commons/thumb/d/db/IJN_Shimakaze_%28Minekaze_class%29_Taisho_11.jpg/300px-IJN_Shimakaze_%28Minekaze_class%29_Taisho_11.jpg
151,USS Althea,,12 March 1920,,the United States,Michigan,,,,A pleasure cruiser that was sunk by ice off Detroit.,
152,SS Cyprus,,11 October 1907,,the United States,Michigan,,,39.263416666666664; -76.57974999999999,The lake freighter sank during a storm on Lake Superior. The ship went down in 460 feet (140 m) of water about 7 nautical miles (13 km) N of Deer Park in Luce County. All but one of the 23 members of the crew perished,//upload.wikimedia.org/wikipedia/commons/thumb/8/85/La_Moure_County_LST-1194.jpg/300px-La_Moure_County_LST-1194.jpg
153,Three Brothers,,27 September 1911,,the United States,Michigan,,,,"She was carrying a load of hardwood worth of $4,200 from Boyne City to Chicago. After leaving Boyne City the vessel was sailing in heavy weather, and the hull began to leak more than usual. In order to save the vessel captain Sam Christopher elected to drive the vessel ashore on South Manitou Island, where she landed just 200 yards (180 m) east of the lifesaving station",
